,Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,RestaurantsReservations,RestaurantsPriceRange2,BusinessAcceptsCreditCards,OutdoorSeating,BikeParking,RestaurantsTakeOut,HasTV,RestaurantsGoodForGroups,DogsAllowed,RestaurantsTableService,GoodForDancing,CoatCheck,GoodForKids,Caters,WheelchairAccessible,HappyHour,RestaurantsDelivery,BYOB,BusinessAcceptsBitcoin,DriveThru,ByAppointmentOnly,Corkage,Open24Hours,DietaryRestrictions,RestaurantsCounterService,BusinessParking_garage,BusinessParking_street,BusinessParking_validated,BusinessParking_lot,BusinessParking_valet,Ambience_touristy,Ambience_hipster,Ambience_romantic,Ambience_divey,Ambience_intimate,Ambience_trendy,Ambience_upscale,Ambience_classy,Ambience_casual,BestNights_monday,BestNights_tuesday,BestNights_friday,BestNights_wednesday,BestNights_thursday,BestNights_sunday,BestNights_saturday,GoodForMeal_dessert,GoodForMeal_latenight,GoodForMeal_lunch,GoodForMeal_dinner,GoodForMeal_brunch,GoodForMeal_breakfast,Music_dj,Music_background_music,Music_no_music,Music_jukebox,Music_live,Music_video,Music_karaoke,AgesAllowed_u'21plus',AgesAllowed_u'allages',Alcohol_'beer_and_wine',Alcohol_'full_bar',Alcohol_'none',Alcohol_u'beer_and_wine',Alcohol_u'full_bar',Alcohol_u'none',BYOBCorkage_'no',BYOBCorkage_'yes_corkage',BYOBCorkage_'yes_free',NoiseLevel_'average',NoiseLevel_'loud',NoiseLevel_'quiet',NoiseLevel_u'average',NoiseLevel_u'loud',NoiseLevel_u'quiet',NoiseLevel_u'very_loud',RestaurantsAttire_'casual',RestaurantsAttire_u'casual',RestaurantsAttire_u'dressy',Smoking_None,Smoking_u'no',Smoking_u'outdoor',WiFi_'free',WiFi_'no',WiFi_u'free',WiFi_u'no',WiFi_u'paid',Type,hours_per_week
0,0,-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,1012 State St,Santa Barbara,CA,93101,34.421931,-119.7021852,3.0,436,1,"Event Planning & Services, Restaurants, Nightlife, Caterers, Italian, Bars","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",True,2.0,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Italian,1.77634611545651
1,1,-BdYhP-12elmFV7oB1iv4A,Corner Tap Room,1905 Cliff Dr,Santa Barbara,CA,93109,34.4013817,-119.7224721,5.0,41,1,"Restaurants, Gastropubs, Cocktail Bars, Bars, American (New), Nightlife, Beer Bar, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '10:0-20:0'}",False,0.5,True,True,True,True,True,0.5,False,True,0.5,False,True,0.5,True,True,None,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,American,0.167041721866323
2,2,-nwNPb3G-0L95igrhkvMtw,Panda Express,605 Paseo Nuevo,Santa Barbara,CA,93101,34.4187220772,-119.7001659,2.5,46,1,"Restaurants, Fast Food, Chinese","{'Monday': '10:30-20:0', 'Tuesday': '10:30-20:0', 'Wednesday': '10:30-20:0', 'Thursday': '10:30-20:0', 'Friday': '10:30-20:0', 'Saturday': '10:30-20:0', 'Sunday': '10:30-20:0'}",False,1.0,True,True,True,True,True,True,0.5,False,0.5,0.5,True,True,0.5,0.5,True,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Fast Food,0.187412663557338
3,3,-r6nmLB5Vi2TLQCxh0_dtw,South Coast Deli- Carrillo,10 E Carrillo St,Santa Barbara,CA,93101,34.4217021,-119.7013299,4.0,215,1,"Salad, Sandwiches, Restaurants, Delis","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '9:0-16:0'}",False,1.0,True,True,True,True,True,False,True,0.5,0.5,0.5,True,False,0.5,0.5,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Deli,0.875950492713645
4,4,04Ss49U_QKYLotcJMAH8cA,Ike’s Love & Sandwiches,1936 State St,Santa Barbara,CA,93101,34.430741422,-119.7142658272,4.0,97,1,"Vegan, Vegetarian, Sandwiches, Restaurants","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",False,2.0,True,None,0.5,True,True,0.5,0.5,False,0.5,0.5,0.5,True,0.5,False,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deli,0.395196268805691
5,5,06pNHtxgPhGhZpM0Z2uzNw,Hollister Brewing Company,6980 Marketplace Dr,Goleta,CA,93117,34.42949848,-119.8711372792,3.5,550,1,"Restaurants, Food, Breweries, American (Traditional), Brewpubs","{'Monday': '11:30-19:30', 'Tuesday': '11:30-19:30', 'Wednesday': '11:30-19:30', 'Thursday': '11:30-19:30', 'Friday': '11:30-20:0', 'Saturday': '11:30-20:0', 'Sunday': '11:30-19:30'}",True,2.0,True,True,True,True,True,True,True,True,0.5,0.5,True,False,0.5,True,True,0.5,0.5,0.5,False,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,American,2.24080358601165
6,6,0RxU5OglQyPVtLKC1LPgsA,Bree'osh,"1150 Coast Village Rd, Ste E",Santa Barbara,CA,93108,34.4214078817,-119.64647306,4.5,497,1,"Restaurants, Food, French, Coffee & Tea, Bakeries, Breakfast & Brunch","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-12:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}",False,2.0,True,True,True,True,False,False,True,False,0.5,0.5,True,True,False,False,True,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Bakery,2.02487160408689
7,7,0ac5lGA_0wdKDnib3y59Xg,Flor De Maiz,29 E Cabrillo Blvd,Santa Barbara,CA,93101,34.4131917395,-119.688437903,4.0,434,1,"Restaurants, Nightlife, Mexican, Bars, Cocktail Bars","{'Monday': '0:0-0:0', 'Tuesday': '11:0-15:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",True,2.0,True,True,0.5,True,True,True,0.5,True,0.5,False,0.5,0.5,0.5,True,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mexican,1.7681977387801
8,8,0c28ysQJ_M1fVToTFV-FWQ,Wingman Rodeo - Montecito Street,235 W Montecito St,Santa Barbara,CA,93101,34.4117091,-119.6960527,4.0,44,1,"Salad, Sandwiches, Vegetarian, Restaurants, Chicken Wings","{'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}",0.5,2.0,0.5,True,0.5,None,True,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,None,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,American,0.179264286880932
9,9,0cWnURpfrb4MqKSzyVN4SQ,Alcazar Tapas Bar,1812 Cliff Dr,Santa Barbara,CA,93109,34.40171,-119.7212025,4.0,152,1,"Tapas Bars, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:15', 'Wednesday': '17:0-21:15', 'Thursday': '17:0-21:45', 'Friday': '17:0-21:45', 'Saturday': '17:0-21:45'}",False,2.0,True,True,True,False,False,True,True,True,0.5,0.5,False,False,True,False,False,False,False,False,0.5,True,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Mexican,0.619276627406856
