,business_id,hours,day_of_the_week,,
0,IDtLPgUrqorrpqSLdfMhZQ, 0:0-0:0 ,  Monday ,,
1,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0 ,  Tuesday ,,
2,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0 ,  Wednesday ,,
3,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0 ,  Thursday ,,
4,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0 ,  Friday ,,
5,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0 ,  Saturday ,,
6,IDtLPgUrqorrpqSLdfMhZQ, 8:0-14:0  ,  Sunday ,,
7,SZU9c8V2GuREDN5KgyHFJw, 0:0-0:0 ,  Monday ,,Wy8Hswf2cLQGRZN6armkag
8,SZU9c8V2GuREDN5KgyHFJw, 11:0-21:0 ,  Tuesday ,,
9,SZU9c8V2GuREDN5KgyHFJw, 11:0-21:0 ,  Wednesday ,,
10,SZU9c8V2GuREDN5KgyHFJw, 11:0-14:0 ,  Thursday ,,
11,SZU9c8V2GuREDN5KgyHFJw, 11:0-21:0 ,  Friday ,,
12,SZU9c8V2GuREDN5KgyHFJw, 11:0-21:0 ,  Saturday ,,
13,SZU9c8V2GuREDN5KgyHFJw, 11:0-21:0  ,  Sunday ,,
14,4xhGQGdGqU60BIznBjqnuA, 0:0-0:0 ,  Monday ,,
15,4xhGQGdGqU60BIznBjqnuA, 10:0-22:0 ,  Tuesday ,,
16,4xhGQGdGqU60BIznBjqnuA, 10:0-22:0 ,  Wednesday ,,
17,4xhGQGdGqU60BIznBjqnuA, 10:0-22:0 ,  Thursday ,,
18,4xhGQGdGqU60BIznBjqnuA, 10:0-22:0 ,  Friday ,,
19,4xhGQGdGqU60BIznBjqnuA, 12:0-22:0 ,  Saturday ,,
20,4xhGQGdGqU60BIznBjqnuA, 12:0-20:30  ,  Sunday ,,
21,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30 ,  Tuesday ,,
22,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30 ,  Wednesday ,,
23,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30 ,  Thursday ,,
24,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30 ,  Friday ,,
25,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30 ,  Saturday ,,
26,ifjluUv4VASwmFqEp8cWlQ, 11:0-21:30  ,  Sunday ,,
27,VeFfrEZ4iWaecrQg6Eq4cg, 0:0-0:0 ,  Monday ,,
28,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30 ,  Tuesday ,,
29,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30 ,  Wednesday ,,
30,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30 ,  Thursday ,,
31,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30 ,  Friday ,,
32,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30 ,  Saturday ,,
33,VeFfrEZ4iWaecrQg6Eq4cg, 8:0-20:30  ,  Sunday ,,
34,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Monday ,,
35,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Tuesday ,,
36,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Wednesday ,,
37,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Thursday ,,
38,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Friday ,,
39,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0 ,  Saturday ,,
40,bdfZdB2MTXlT6-RBjSIpQg, 11:0-22:0  ,  Sunday ,,
41,xwSWtJcQkzTF6HNm_IMgcg, 0:0-0:0 ,  Monday ,,
42,xwSWtJcQkzTF6HNm_IMgcg, 11:0-20:0 ,  Tuesday ,,
43,xwSWtJcQkzTF6HNm_IMgcg, 11:0-0:0 ,  Wednesday ,,
44,xwSWtJcQkzTF6HNm_IMgcg, 11:0-0:0 ,  Thursday ,,
45,xwSWtJcQkzTF6HNm_IMgcg, 11:0-0:0 ,  Friday ,,
46,xwSWtJcQkzTF6HNm_IMgcg, 11:0-0:0 ,  Saturday ,,
47,xwSWtJcQkzTF6HNm_IMgcg, 11:0-0:0  ,  Sunday ,,
48,18eWJFJbXyR9j_5xfcRLYA, 17:0-21:30 ,  Tuesday ,,
49,18eWJFJbXyR9j_5xfcRLYA, 17:0-21:30 ,  Wednesday ,,
50,18eWJFJbXyR9j_5xfcRLYA, 17:0-21:30 ,  Thursday ,,
51,18eWJFJbXyR9j_5xfcRLYA, 17:0-21:30 ,  Friday ,,
52,18eWJFJbXyR9j_5xfcRLYA, 12:0-21:30 ,  Saturday ,,
53,18eWJFJbXyR9j_5xfcRLYA, 12:0-21:30  ,  Sunday ,,
54,vLT1KtrA9bWvjFOg-0xVIg, 0:0-0:0 ,  Monday ,,
55,vLT1KtrA9bWvjFOg-0xVIg, 10:0-20:0 ,  Tuesday ,,
56,vLT1KtrA9bWvjFOg-0xVIg, 10:0-20:0 ,  Wednesday ,,
57,vLT1KtrA9bWvjFOg-0xVIg, 10:0-20:0 ,  Thursday ,,
58,vLT1KtrA9bWvjFOg-0xVIg, 10:0-22:0 ,  Friday ,,
59,vLT1KtrA9bWvjFOg-0xVIg, 10:0-22:0 ,  Saturday ,,
60,vLT1KtrA9bWvjFOg-0xVIg, 10:0-20:0  ,  Sunday ,,
61,kHOXo-IZSpixpctmHsGlyA, 11:0-20:0  ,  Monday ,,
62,UFpCraqzFBAhtZqmxmiWsA, 10:0-17:15 ,  Monday ,,
63,UFpCraqzFBAhtZqmxmiWsA, 10:0-19:0 ,  Wednesday ,,
64,UFpCraqzFBAhtZqmxmiWsA, 10:0-19:0 ,  Thursday ,,
65,UFpCraqzFBAhtZqmxmiWsA, 10:0-20:0 ,  Friday ,,
66,UFpCraqzFBAhtZqmxmiWsA, 10:0-20:0 ,  Saturday ,,
67,UFpCraqzFBAhtZqmxmiWsA, 10:0-19:0  ,  Sunday ,,
68,Hqz96v1ymucUKNzIWfEKXw, 8:0-22:0 ,  Monday ,,
69,Hqz96v1ymucUKNzIWfEKXw, 8:0-22:0 ,  Tuesday ,,
70,Hqz96v1ymucUKNzIWfEKXw, 8:0-22:0 ,  Wednesday ,,
71,Hqz96v1ymucUKNzIWfEKXw, 8:0-22:0 ,  Thursday ,,
72,Hqz96v1ymucUKNzIWfEKXw, 8:0-22:0 ,  Friday ,,
73,Hqz96v1ymucUKNzIWfEKXw, 10:0-22:0 ,  Saturday ,,
74,Hqz96v1ymucUKNzIWfEKXw, 10:0-22:0  ,  Sunday ,,
75,JWFpjvCc_nkNDVtMPx1ZGg, 0:0-0:0 ,  Monday ,,
76,JWFpjvCc_nkNDVtMPx1ZGg, 16:0-21:0 ,  Tuesday ,,
77,JWFpjvCc_nkNDVtMPx1ZGg, 11:0-21:0 ,  Wednesday ,,
78,JWFpjvCc_nkNDVtMPx1ZGg, 11:0-21:0 ,  Thursday ,,
79,JWFpjvCc_nkNDVtMPx1ZGg, 11:0-22:0 ,  Friday ,,
80,JWFpjvCc_nkNDVtMPx1ZGg, 11:0-22:0 ,  Saturday ,,
81,JWFpjvCc_nkNDVtMPx1ZGg, 11:0-21:0  ,  Sunday ,,
82,9L-MR0arflwFMF9szEBOOg, 9:0-17:0 ,  Monday ,,
83,9L-MR0arflwFMF9szEBOOg, 9:0-17:0 ,  Tuesday ,,
84,9L-MR0arflwFMF9szEBOOg, 9:0-17:0 ,  Wednesday ,,
85,9L-MR0arflwFMF9szEBOOg, 9:0-17:0 ,  Thursday ,,
86,9L-MR0arflwFMF9szEBOOg, 9:0-17:0  ,  Friday ,,
87,uFF40n9pOqHK1ciajdoSEw, 11:30-20:30 ,  Monday ,,
88,uFF40n9pOqHK1ciajdoSEw, 11:30-20:30 ,  Tuesday ,,
89,uFF40n9pOqHK1ciajdoSEw, 11:30-20:30 ,  Thursday ,,
90,uFF40n9pOqHK1ciajdoSEw, 11:30-21:0 ,  Friday ,,
91,uFF40n9pOqHK1ciajdoSEw, 11:30-21:0 ,  Saturday ,,
92,uFF40n9pOqHK1ciajdoSEw, 11:30-20:30  ,  Sunday ,,
93,aYMpjij5ShtEoZueMrQPRw, 11:0-22:0 ,  Monday ,,
94,aYMpjij5ShtEoZueMrQPRw, 11:0-22:0 ,  Tuesday ,,
95,aYMpjij5ShtEoZueMrQPRw, 11:0-22:0 ,  Wednesday ,,
96,aYMpjij5ShtEoZueMrQPRw, 11:0-22:0 ,  Thursday ,,
97,aYMpjij5ShtEoZueMrQPRw, 11:0-22:30 ,  Friday ,,
98,aYMpjij5ShtEoZueMrQPRw, 11:0-22:30 ,  Saturday ,,
99,aYMpjij5ShtEoZueMrQPRw, 11:0-22:0  ,  Sunday ,,
100,GgcvRnt5_z3NEC0D6vNncQ, 11:30-20:30 ,  Monday ,,
101,GgcvRnt5_z3NEC0D6vNncQ, 11:30-20:30 ,  Tuesday ,,
102,GgcvRnt5_z3NEC0D6vNncQ, 11:30-22:0 ,  Wednesday ,,
103,GgcvRnt5_z3NEC0D6vNncQ, 11:30-21:0 ,  Thursday ,,
104,GgcvRnt5_z3NEC0D6vNncQ, 11:30-22:0 ,  Friday ,,
105,GgcvRnt5_z3NEC0D6vNncQ, 11:30-22:0 ,  Saturday ,,
106,GgcvRnt5_z3NEC0D6vNncQ, 11:30-22:0  ,  Sunday ,,
107,MiMRlsXOpHJMSTDAuw8s1w, 0:0-0:0 ,  Monday ,,
108,MiMRlsXOpHJMSTDAuw8s1w, 17:0-21:0 ,  Tuesday ,,
109,MiMRlsXOpHJMSTDAuw8s1w, 17:0-21:0 ,  Wednesday ,,
110,MiMRlsXOpHJMSTDAuw8s1w, 17:0-21:0 ,  Thursday ,,
