,business_id,city,postal_code,stars,review_count,Type,hours_per_week
0,-3AooxIkg38UyUdlz5oXdw,Santa Barbara,93101,3.0,436,Italian,69.89999999999999
7,-BdYhP-12elmFV7oB1iv4A,Santa Barbara,93109,5.0,41,American,45.0
14,-nwNPb3G-0L95igrhkvMtw,Santa Barbara,93101,2.5,46,Fast Food,67.89999999999999
21,-r6nmLB5Vi2TLQCxh0_dtw,Santa Barbara,93101,4.0,215,Deli,42.0
28,04Ss49U_QKYLotcJMAH8cA,Santa Barbara,93101,4.0,97,Deli,56.0
35,06pNHtxgPhGhZpM0Z2uzNw,Goleta,93117,3.5,550,American,57.4
42,0RxU5OglQyPVtLKC1LPgsA,Santa Barbara,93108,4.5,497,Bakery,40.0
49,0ac5lGA_0wdKDnib3y59Xg,Santa Barbara,93101,4.0,434,Mexican,56.0
56,0c28ysQJ_M1fVToTFV-FWQ,Santa Barbara,93101,4.0,44,American,32.0
63,0cWnURpfrb4MqKSzyVN4SQ,Santa Barbara,93109,4.0,152,Mexican,21.649999999999995
70,0iLgVQpBeIYYwQZIblTTVw,Santa Barbara,93110,4.0,10,Bakery,57.5
77,0it-2gWk_gyuZyEMQzBBuQ,Carpinteria,93013,4.0,230,American,58.199999999999996
84,0mUVD5sDXZjd66XwATN8XA,Goleta,93117,4.0,103,Coffee,54.0
91,0qu0fNTOsSmuREYVIMPuIQ,Santa Barbara,93105,4.5,1018,American,32.8
98,12Gc4OFQ-WAW0fAk2hRZuQ,Santa Barbara,93105,5.0,25,Bakery,1.0
105,1Du1NruqJwxnzgEUHc42Jw,Santa Barbara,93105,4.5,208,Breakfast,43.800000000000004
112,1FURjeGJi_LBXcJQg8eskw,Carpinteria,93013,4.5,885,American,51.2
119,1J0NIfmrSuV72KzhmYFxMA,Montecito,93108,4.0,77,Italian,28.0
126,1U8Kt44FIkC7RnJsNjaMTA,Santa Barbara,93101,4.5,34,Japanese,22.900000000000002
133,1kVnChI4aqsPw9i2PVqkkw,Santa Barbara,93105,4.0,278,American,54.0
140,1l4-uhraQzNiRjppKyMUUQ,Goleta,93117,4.5,117,Bakery,31.400000000000002
147,1lwulkAD5htni3rbHW8oeg,Santa Barbara,93109,3.0,11,Fast Food,90.80000000000001
154,23OxrUaCvvVrwSa1z3xG-w,Santa Barbara,93101,4.5,128,Bakery,28.5
161,27zlxlmlQu9KBr5Vj4MGeg,Goleta,93117,4.5,790,Deli,49.0
168,29t8lDBLiwkEd1HA356dOw,Goleta,93117,4.0,386,Deli,53.9
175,2MWEEuY3dtD2DNP99sNe_A,Goleta,93117,4.5,77,Mexican,13.0
182,2N9WHETHcYJsfYpHQ-qN_A,Goleta,93111,3.5,156,Bakery,56.0
189,2QaNH5-RCRNIkToUOBc22Q,Santa Barbara,93105,4.0,26,Mexican,58.0
196,2Y0L3Hf6U-76jGvviKy5pA,Carpinteria,93013,3.0,115,Mexican,61.0
203,2YnQAJdeFrcgPa8MqIYcDg,Santa Barbara,93111,3.5,294,American,56.0
210,2aP9wvEqpGLLDVpWTWlAog,Carpinteria,93013,4.5,130,Bakery,88.19999999999999
217,2bxZhBk8JZkJ1GqfTB0cUQ,Santa Barbara,93101,3.5,287,Italian,70.0
224,2h3SEwpI6fiuTF9mcN1S_Q,Santa Barbara,93101,4.0,86,Mexican,101.5
231,2l-spLLGUzRiZg8dF623Nw,Santa Barbara,93101,4.0,144,American,51.0
238,2nF2syYoD5VBFk01le6NkA,Santa Barbara,93108,4.5,31,Deli,33.5
245,2pBNVsJo3a3CPbInUu9lvQ,Santa Barbara,93101,3.0,134,Fast Food,74.0
252,2swMZVA832zkmdPBrddPRQ,Goleta,93117,4.5,233,Healthy,63.0
259,2xxkaRy7rP5EUyjFt2J5kA,Goleta,93117,4.5,562,Japanese,25.800000000000004
266,34Eqv8jXgxg_EEwcsNgeeg,Santa Barbara,93101,4.0,659,Healthy,63.0
273,3VrqxApK-iwfRohlAuIt0g,Goleta,93117,4.0,113,Breakfast,49.5
280,3fpAmsSuEFNF29UUPpgwlw,Santa Barbara,93105,4.5,292,Bakery,80.0
287,3tvi-OJ_-iK1ecjzSaH-oA,Santa Barbara,93101,4.5,217,Bakery,54.0
294,3xJ_6qxRA0sdUm3ThCPiCw,Carpinteria,93013,4.0,271,Italian,19.800000000000004
301,425FOxIzHPcOB0niWc6-1w,Santa Barbara,93101,3.5,100,Bakery,21.0
308,45D7B9CqiUTTPUFcqmLx5Q,Santa Barbara,93105,4.5,263,American,36.8
315,45Ut-AN8h3c88-pYTrGBnA,Goleta,93117,4.0,155,Japanese,75.0
322,49Sy1N3MTnK6Eslh1tgZQQ,Santa Barbara,93101,3.5,12,American,8.0
329,4D7QDfPOsSPfKxBi3gs_qQ,Santa Barbara,93101,4.0,622,Pizza,30.900000000000002
336,4FdsX3MbkcdBRAr1aymF6A,Santa Barbara,93101,4.5,77,Mexican,26.0
343,4IqrY1mXK65HgrrgkpE-cw,Montecito,93108,4.5,84,Japanese,22.0
350,4VW4_ghjdYw0Wl40Voa9cw,Carpinteria,93013,3.5,236,Mexican,73.7
357,54oLdsGU9B8HxFTqCCqV-A,Santa Barbara,93105,4.5,589,Italian,82.19999999999999
364,5Z3uvoIoOFUzTmrBmIJv2g,Santa Barbara,93101,3.0,37,Deli,15.0
371,5tkZfqkwx6axbN9P5UlC8w,Carpinteria,93013,2.5,32,Fast Food,90.89999999999999
378,5vIfUavd23X3lBzjnnc4QA,Santa Barbara,93103,3.0,21,Bakery,0.0
385,5vObJIHLO-QOMrw_MvC4rA,Carpinteria,93013,4.0,828,Breakfast,36.0
392,6EizP0XyqITuGZ8GZMI9Lw,Santa Barbara,93101,4.5,1084,Italian,30.0
399,6HTGlttrzCMsuGBHO1ZGiw,Santa Barbara,93101,4.5,405,American,20.6
406,6RBZfirnzE4NahJTn1UPNA,Santa Barbara,93103,4.0,1759,Mexican,70.0
413,6RBrYMiAf8jFJI4fDoQpcw,Santa Barbara,93106,3.0,6,Mexican,91.8
420,6TciI6uBdrd8z1av1YleLg,Goleta,93117,3.5,198,Mexican,64.0
427,6VVbLYay8czrjKJ4xRoTxQ,Santa Barbara,93101,4.5,110,Breakfast,53.9
434,6kPHr6gZaU9732ptn9gJrA,Goleta,93117,4.0,128,Mexican,112.0
441,6smGb7xv5fDbBsLgW1WC2w,Santa Barbara,93105,3.5,185,Japanese,33.6
448,7IdIGemGZodDAA_9mJCigA,Santa Barbara,93105,4.0,255,Fast Food,42.0
455,7oPREWTlY8RIMfwT1R0YYw,Santa Barbara,93109,4.0,70,American,43.5
462,7wSnkgOORRCqVDa_n8Upxg,Santa Barbara,93105,4.0,510,American,37.4
469,7wcHZ80HLJVwUijAH_efJQ,Santa Barbara,93109,3.5,212,American,53.45
476,8JzURExziDYuCrd7Ve9nDQ,Santa Barbara,93101,4.5,44,Bakery,89.0
483,8Lbz0hfE4MWzd7yDu9atBA,Santa Barbara,93101,5.0,146,American,16.0
490,8MoqZqlNN9AXzG91_Hpc_Q,Santa Barbara,93101,4.0,289,American,65.10000000000001
497,8Vo6LN9gqULhXzoxj5k6kQ,Santa Barbara,93101,4.5,983,Japanese,22.3
504,8_r9EZL6vX5fPBoVh3gUrA,Santa Barbara,93101,4.0,318,Mexican,56.0
511,8qGe4GQYyZstFhYa0rvpIg,Goleta,93117,2.0,58,Fast Food,35.0
518,8r_n8JdKQ0gePm2neSkL7A,Goleta,93117,3.0,223,Japanese,60.6
525,92Z2WFvC86Qy3TOI-oBGVg,Carpinteria,93013,4.0,26,Mexican,112.0
532,95NWdx75Gwy4r_IGGuCnmQ,Carpinteria,93013,4.0,25,Healthy,62.0
539,9kfN12wVGnKo54AaRjz0vQ,Carpinteria,93013,4.5,179,Italian,54.0
546,9ugpNKKhnYRa51qXoxUw_A,Santa Barbara,93101,4.5,1219,Mexican,55.0
553,9xW7LsJpyhVZFRb6z9xorg,Goleta,93117,4.0,172,Italian,38.0
560,A263bVzMdU_-TIMhewOrjQ,Goleta,93117,4.0,252,Breakfast,56.0
