"","X.1","X","business_id","city","postal_code","stars","review_count","Type","hours_per_week","weight"
"1",1,0,"-3AooxIkg38UyUdlz5oXdw","Santa Barbara",93101,"3",436,"Italian",69.9,1.77634611545651
"2",2,7,"-BdYhP-12elmFV7oB1iv4A","Santa Barbara",93109,"5",41,"American",45,0.167041721866323
"3",3,14,"-nwNPb3G-0L95igrhkvMtw","Santa Barbara",93101,"2.5",46,"Fast Food",67.9,0.187412663557338
"4",4,21,"-r6nmLB5Vi2TLQCxh0_dtw","Santa Barbara",93101,"4",215,"Deli",42,0.875950492713645
"5",5,28,"04Ss49U_QKYLotcJMAH8cA","Santa Barbara",93101,"4",97,"Deli",56,0.395196268805691
"6",6,35,"06pNHtxgPhGhZpM0Z2uzNw","Goleta",93117,"3.5",550,"American",57.4,2.24080358601165
"7",7,42,"0RxU5OglQyPVtLKC1LPgsA","Santa Barbara",93108,"4.5",497,"Bakery",40,2.02487160408689
"8",8,49,"0ac5lGA_0wdKDnib3y59Xg","Santa Barbara",93101,"4",434,"Mexican",56,1.7681977387801
"9",9,56,"0c28ysQJ_M1fVToTFV-FWQ","Santa Barbara",93101,"4",44,"American",32,0.179264286880932
"10",10,63,"0cWnURpfrb4MqKSzyVN4SQ","Santa Barbara",93109,"4",152,"Mexican",21.65,0.619276627406856
"11",11,70,"0iLgVQpBeIYYwQZIblTTVw","Santa Barbara",93110,"4",10,"Bakery",57.5,0.04074188338203
"12",12,77,"0it-2gWk_gyuZyEMQzBBuQ","Carpinteria",93013,"4",230,"American",58.2,0.93706331778669
"13",13,84,"0mUVD5sDXZjd66XwATN8XA","Goleta",93117,"4",103,"Coffee",54,0.419641398834909
"14",14,91,"0qu0fNTOsSmuREYVIMPuIQ","Santa Barbara",93105,"4.5",1018,"American",32.8,4.14752372829066
"15",15,98,"12Gc4OFQ-WAW0fAk2hRZuQ","Santa Barbara",93105,"5",25,"Bakery",1,0.101854708455075
"16",16,105,"1Du1NruqJwxnzgEUHc42Jw","Santa Barbara",93105,"4.5",208,"Breakfast",43.8,0.847431174346224
"17",17,112,"1FURjeGJi_LBXcJQg8eskw","Carpinteria",93013,"4.5",885,"American",51.2,3.60565667930966
"18",18,119,"1J0NIfmrSuV72KzhmYFxMA","Montecito",93108,"4",77,"Italian",28,0.313712502041631
"19",19,126,"1U8Kt44FIkC7RnJsNjaMTA","Santa Barbara",93101,"4.5",34,"Japanese",22.9,0.138522403498902
"20",20,133,"1kVnChI4aqsPw9i2PVqkkw","Santa Barbara",93105,"4",278,"American",54,1.13262435802043
"21",21,140,"1l4-uhraQzNiRjppKyMUUQ","Goleta",93117,"4.5",117,"Bakery",31.4,0.476680035569751
"22",22,147,"1lwulkAD5htni3rbHW8oeg","Santa Barbara",93109,"3",11,"Fast Food",90.8,0.044816071720233
"23",23,154,"23OxrUaCvvVrwSa1z3xG-w","Santa Barbara",93101,"4.5",128,"Bakery",28.5,0.521496107289984
"24",24,161,"27zlxlmlQu9KBr5Vj4MGeg","Goleta",93117,"4.5",790,"Deli",49,3.21860878718037
"25",25,168,"29t8lDBLiwkEd1HA356dOw","Goleta",93117,"4",386,"Deli",53.9,1.57263669854636
"26",26,175,"2MWEEuY3dtD2DNP99sNe_A","Goleta",93117,"4.5",77,"Mexican",13,0.313712502041631
"27",27,182,"2N9WHETHcYJsfYpHQ-qN_A","Goleta",93111,"3.5",156,"Bakery",56,0.635573380759668
